epoch,train_loss,train_f1,validation_f1,validation_recall,validation_roc_auc
1,1.0193625688552856,0.3230203080278043,0.28911138923654567,0.25384615384615383,0.5235910369579978
2,1.0107481479644775,0.40908535840762,0.39035333707235,0.3824175824175824,0.6054085888890428
3,1.0039808750152588,0.4621567314132619,0.45267489711934156,0.4835164835164835,0.6673939553510801
4,0.9971861243247986,0.49588815789473684,0.5133740028155795,0.6010989010989011,0.7082581563035535
5,0.9910610318183899,0.5205135630852399,0.5322723253757736,0.6615384615384615,0.7346370947253671
6,0.9836479425430298,0.5356582710582157,0.549618320610687,0.7120879120879121,0.7517365778399827
7,0.9785487055778503,0.5446412596171051,0.5543255432554326,0.7428571428571429,0.7632300024481613
8,0.9704177379608154,0.5512460512460512,0.5575611712795828,0.7637362637362637,0.7714225665045338
9,0.9652652740478516,0.5547596444291015,0.563391442155309,0.7813186813186813,0.7774748370586958
10,0.9583635926246643,0.5572394896823358,0.5678332677939442,0.7934065934065934,0.7821626041045965
11,0.9530229568481445,0.5586782490206098,0.5725459522878373,0.8043956043956044,0.785684492052714
12,0.9456067085266113,0.5589059712902403,0.5759813447337738,0.8142857142857143,0.7884830176129041
13,0.940940797328949,0.561740460610181,0.575204041974349,0.8131868131868132,0.7907949133674227
14,0.9332616925239563,0.5626328769453185,0.5789883268482491,0.8175824175824176,0.7926550540674122
15,0.9278661608695984,0.5637572451414934,0.5809968847352025,0.8197802197802198,0.7942214154067874
16,0.9225397109985352,0.5658378193625566,0.5770132916340891,0.810989010989011,0.7954621250964252
17,0.9161802530288696,0.5673588467478977,0.5796078431372549,0.8120879120879121,0.796560102360859
18,0.91068434715271,0.5684518684346478,0.5815602836879432,0.810989010989011,0.7974883250419189
19,0.905709445476532,0.5695972282373322,0.5822784810126582,0.8087912087912088,0.7982985278697763
20,0.9009348154067993,0.5701105405170163,0.5842607313195548,0.8076923076923077,0.7989872464651785
21,0.8911380767822266,0.5715536871606236,0.5869652139144342,0.8065934065934066,0.7995191441597495
22,0.8876925706863403,0.572033151119732,0.5882825040128411,0.8054945054945055,0.8000452678888996
23,0.8815224766731262,0.5722404759790427,0.5906148867313916,0.8021978021978022,0.8005328215290384
24,0.8760346174240112,0.5728077232502011,0.5903369874137231,0.798901098901099,0.8010005127281292
25,0.8729329705238342,0.5734077006117309,0.590204081632653,0.7945054945054945,0.8014536535343598
26,0.8666557669639587,0.5748958522006883,0.594059405940594,0.7912087912087912,0.801885777106458
27,0.8617997765541077,0.5773966979841284,0.5969153814089204,0.7868131868131868,0.8022555418520111
28,0.8571909070014954,0.5792179181200661,0.5964765100671141,0.7813186813186813,0.8025516307987935
29,0.8532852530479431,0.5798816568047337,0.5990705534431771,0.7791208791208791,0.8029013021446817
30,0.8500286936759949,0.5806511627906977,0.600511073253833,0.7747252747252747,0.8032274157116528
31,0.8452270030975342,0.5819034224097516,0.6004301075268818,0.7670329670329671,0.8034953277071815
32,0.841251015663147,0.5813580130323921,0.5991341991341992,0.7604395604395604,0.8038200555224515
33,0.8387739658355713,0.582777671937512,0.5996503496503497,0.7538461538461538,0.8041179921381687
34,0.8327233791351318,0.5838211304097496,0.6010591350397175,0.7483516483516484,0.8044602728083181
35,0.8310908079147339,0.5842522731669568,0.6021314387211367,0.7450549450549451,0.804861216967144
36,0.8259105086326599,0.5851519875292284,0.603739982190561,0.7450549450549451,0.805223821995575
37,0.8253450393676758,0.5867687475461327,0.6032315978456014,0.7384615384615385,0.8055614834933875
38,0.8206453323364258,0.5875616979269497,0.6020730058584948,0.734065934065934,0.8060081574583465
39,0.8193355202674866,0.5885157957480628,0.6018099547511312,0.7307692307692307,0.8064509051268195
40,0.8131442070007324,0.5899022151267213,0.6022779043280182,0.7263736263736263,0.806888109788488
41,0.8157360553741455,0.5906995389857687,0.6032036613272311,0.7241758241758242,0.80737543247001
42,0.8116329312324524,0.5910556003223207,0.6033057851239669,0.721978021978022,0.8079052515370295
43,0.8105405569076538,0.5915293641969069,0.605080831408776,0.7197802197802198,0.8084657881000883
44,0.8090623617172241,0.5927803690934902,0.6070435588507878,0.7197802197802198,0.8090124671461366
45,0.8035029172897339,0.5930669919690963,0.6084533209475151,0.7197802197802198,0.8095760061712141
46,0.8046754002571106,0.5937627395026498,0.6092221704704238,0.7186813186813187,0.810132154520553
47,0.8028145432472229,0.594749208295025,0.611577964519141,0.7197802197802198,0.810668440428844
48,0.8009320497512817,0.5961499078435388,0.6114232209737828,0.7175824175824176,0.81129849553557
49,0.798816442489624,0.5962503841819485,0.6112676056338028,0.7153846153846154,0.8118227715957855
50,0.7936826944351196,0.5962287353965977,0.6099624060150376,0.7131868131868132,0.8123627528419458
51,0.7957128882408142,0.5971311475409836,0.6099624060150376,0.7131868131868132,0.8129008864191714
52,0.79249507188797,0.5985236825917573,0.6092278719397364,0.710989010989011,0.8133415554600927
53,0.7911202907562256,0.5994472310369536,0.6123410268487989,0.7142857142857143,0.8138007011903607
54,0.7929111123085022,0.6006951543651605,0.6142991533396049,0.7175824175824176,0.8143032671405938
55,0.7865162491798401,0.6020626978453998,0.615890926187118,0.7197802197802198,0.8147721131327689
56,0.7903813123703003,0.603265306122449,0.6164705882352941,0.7197802197802198,0.8152363399526072
57,0.7868956923484802,0.6054428702476812,0.6186440677966102,0.721978021978022,0.8156252742633576
58,0.7867481708526611,0.6066341066341067,0.6177715091678421,0.721978021978022,0.8160107441948551
59,0.7824333906173706,0.6068237205523964,0.6174812030075187,0.721978021978022,0.8163481747340512
60,0.783140242099762,0.6068167985392574,0.6181988742964353,0.7241758241758242,0.816692764990369
61,0.7814378142356873,0.6077001013171226,0.6192037470725995,0.7263736263736263,0.8170281169020135
62,0.7783552408218384,0.6086428499139763,0.619493908153702,0.7263736263736263,0.8173339061107032
63,0.7815349698066711,0.6092581362441883,0.6204960224613945,0.7285714285714285,0.8176775725325536
64,0.778231143951416,0.610611419909045,0.6203358208955224,0.7307692307692307,0.8179408653557455
65,0.777170717716217,0.6117171717171718,0.6194690265486725,0.7307692307692307,0.8181681286347113
66,0.7755764126777649,0.611919191919192,0.6188925081433225,0.7307692307692307,0.8184492052713995
67,0.7731965780258179,0.6111111111111112,0.6182495344506518,0.7296703296703296,0.8186614562402709
68,0.7722451686859131,0.6114083796062595,0.6176744186046511,0.7296703296703296,0.8188998055328446
69,0.7734626531600952,0.6118620133145047,0.6172494172494173,0.7274725274725274,0.8191182923843705
70,0.7704433798789978,0.6116935483870968,0.6181818181818182,0.7285714285714285,0.8193007496916702
71,0.772543728351593,0.6121462382918723,0.6188257222739981,0.7296703296703296,0.819464730309623
72,0.7729037404060364,0.6126760563380281,0.6178254783014465,0.7274725274725274,0.8196296347620434
73,0.7708901762962341,0.6129421221864951,0.6171802054154996,0.7263736263736263,0.8197829912836218
74,0.770230233669281,0.6139927623642943,0.6166044776119403,0.7263736263736263,0.8199515910739115
75,0.7707599997520447,0.6145801910507793,0.6181818181818182,0.7285714285714285,0.8201248100365376
76,0.7669581770896912,0.6153382249472309,0.6172494172494173,0.7274725274725274,0.8202883287372568
77,0.7670875787734985,0.6155392501758971,0.6178937558247903,0.7285714285714285,0.8204442258036205
78,0.7664145827293396,0.6159413006332295,0.6191142191142192,0.7296703296703296,0.8205811842634035
